Store Name,City,State/Province,Email,Notes
401 Games,Toronto,ON,info@401games.ca,
A Muse N Games,Winnipeg,MB,info@amusengames.ca,
Abubika Gaming LLC,Gastonia,NC,,Phone: (704) 866-7234
Amazing Fantasy Frankfort,Frankfort,IL,,Phone: (815) 469-5092; afbooks.com
Armada Games,Tampa,FL,info@armadagames.com,
Badlands Comics and Games,Dickinson,ND,,CLOSED (Feb 2018)
Battlegrounds Gaming LLC,Norwalk,CT,battlegrounds.sales@gmail.com,
Beyond Comics,Frederick,MD,beyondcomics@beyondcomics.com,
Black and Read,Arvada,CO,blackandread19@gmail.com,
Black Dog Enterprises,Lubbock,TX,dog@blackdogent.com,
Black Diamond Games,Concord,CA,gray@blackdiamondgames.com,
Board Game Barrister,Glendale,WI,contact@boardgamebarrister.com,Contact form: boardgamebarrister.com/contact-us
Board Game Barrister,Greenfield,WI,contact@boardgamebarrister.com,Same as Glendale location
Board Game Bliss,Markham,ON,info@boardgamebliss.com,
Board of Games,Fullerton,CA,,1310 E Chapman Ave - verify current
Boardwalk Games Inc,Port Jefferson,NY,,Verify address
Born to Play Games,Bellevue,NE,,Phone only
Breakpoint Books,Mount Dora,FL,,Phone only
Cape Fear Games,Wilmington,NC,support@capefeargames.com,
Card Kingdom,Seattle,WA,,Support portal: cardkingdom.freshdesk.com; Phone: 206-523-9605
Card Kingdom/Mox Boarding House,Bellevue,WA,,moxboardinghouse.com/contact; Phone: 425-326-3050
Cat and Mouse Game Store,Chicago,IL,,Phone only
Checkmate International/It's Your Move,Lone Tree,CO,,Phone only
Cheeky Monkey Toys,Menlo Park,CA,fun@cheekymonkeytoys.com,
Chicagoland Games,Chicago,IL,,Phone only
Comic Encounters,Terrace,BC,,Canada
Common Ground Games,Dallas,TX,info@boardgamesdallas.com,Website: boardgamesdallas.com
Craving for a Game,Surrey,BC,buck@cravingforagame.ca,Canada
Dark Mountain Games,Springfield,VT,,Phone only
Dewayne's World of Comics,Kingsport,TN,,Phone only
Dick & Jane's Sportscards,Jacksonville,FL,,Phone only
Dragon's Lair Comics & Fantasy,San Antonio,TX,sa@dlair.net,
Dragon's Den,Poughkeepsie,NY,,Phone: 845-471-1401; gamersgambit.com
Dreamers Vault Games,Minneapolis,MN,info@dreamersvault.com,
Empire Comics,New Albany,IN,,Phone only
End Zone,Clearfield,UT,,Phone only
Epic Worlds and Games,Copperopolis,CA,,Phone only
Epikos Games Hixson,Hixson,TN,Hixson@EpikosCCG.com,
Face to Face Games,Toronto,ON,,Contact form: facetofacegames.com/pages/contact; Phone: 866-235-7002
Family Time Games,Indianapolis,IN,info@family-time-games.com,
Fanfare Sport & Entertainment,Kalamazoo,MI,,Phone only
Fantasy Books & Games,Fairview Heights,IL,,Phone only
Flipside Gaming,East Greenbush,NY,,Phone only
Game Cafe LLC,Independence,MO,,Phone only
Game Cave,Hermitage,TN,,Phone only
Game Depot,Tempe,AZ,,Phone: 480-966-4727
Game Empire,San Diego,CA,GameEmpire@GameEmpire.com,
Game Goblins,Little Rock,AR,,Contact form: gamegoblins.com/contact-us
Game Haven Tooele,Tooele,UT,info@buymagicsingles.com,
Game Kastle,Santa Clara,CA,gk2.santaclara@gmail.com,Also: shop@gamekastle.com for retailer inquiries
Game Kastle,Fremont,CA,gk2.santaclara@gmail.com,
Game Kastle,Mountain View,CA,gk2.santaclara@gmail.com,
Game On Chattanooga,Chattanooga,TN,gameonchatt@gmail.com,
Game Station,Morgantown,WV,,Phone only
Game Time,Indianapolis,IN,,Phone only
Gameboard LLC,Sheboygan,WI,thegameboard@sbcglobal.net,
Gamer's Armory,Cary,NC,info@gamersarmory.com,
Gamerz Haven,Lakewood,NY,,Phone only
Games & More,West Des Moines,IA,,Phone only
Games & Stuff,Glen Burnie,MD,info@gamesandstuffonline.com,
Games In Real Life,Canton,CT,info@gamesinreallife.com,
Games Keep LLC,West Chester,PA,,Phone: 484-905-5533
Gamesville Tabletop,Gainesville,FL,,Phone: 352-378-7529; gamesvilletabletop.com
Gestion L'Imaginaire Inc,Sainte-Foy,QC,,Canada - French
Giga-Bites Tabletop Cafe,Marietta,GA,info@giga-bitescafe.com,
Gnome Games,Green Bay,WI,HQ@gnomegames.com,Multiple locations
Good Games LLC,Gray,GA,,Phone only
Graham Crackers Comics,Naperville,IL,mikewall@grahamcrackers.com,
Grapple Games,Bourbonnais,IL,,Phone only
Great Escape Games,Sacramento,CA,,Contact form: greatescapegames.com; Phone: 916-927-0810
Guardian Games,Portland,OR,GGPInfo@GuardianGames.com,
Hairy Tarantula Comics & Cards,Toronto,ON,,Phone only
Heroes World Comic Shop,Markham,ON,,Canada
Heroic Adventures,Edwardsville,IL,,Phone only
Highlander Games,Boonton,NJ,highlandergamesnj@gmail.com,
Hillbilly Toy Chest,Milton,WV,,Phone only
Hit the Deck Games,Fort Wayne,IN,,Phone only
Huzzah Hobbies LLC,Ashburn,VA,huzzahevents@gmail.com,
I Want That Stuff,Wainwright,AB,,Canada
I'm Board Games,Middleton,WI,info@imboardgames.com,
Imperial Outpost Games,Glendale,AZ,,Contact form: imperialoutpost.games; Phone: 602-978-0467
Interactivity Games & Stuff,Victoria,BC,,Canada
Island Games,Centreville,VA,,Phone: 515-599-0360 - verify if open
Isle of Gamers,Santa Clara,CA,,Phone only
Isle of Games,Tucson,AZ,store@isleofgamesaz.com,
Jacksonville Game Center,Jacksonville,FL,,jaxgamecenter - Phone: 904-399-4450
Kidforce Collectibles,Berea,OH,kidforce7@att.net,
Labyrinth Games & Puzzles,Washington,DC,game@labyrinthdc.com,
Le Griffon Jeux et Fantaisies,Sherbrooke,QC,,Canada - French
Le Valet D'Coeur,Montreal,QC,,Contact form: levalet.com; Phone: 514-499-9970
Legendary Games LLC,Lafayette,IN,,Phone only
Legendary Games LLC,Lexington,KY,,Contact form: legendarygameslexington.square.site
Level Up Games,St Paul,MN,,levelupshoponline.com - Minneapolis/Hastings locations
Little Shop of Magic,Las Vegas,NV,,Contact form: shopofmagic.com; Phone: 702-307-6127
LJ Sportscards,Southbridge,MA,,Phone only
